iter	Passed	Remaining
400	24742	36959
401	24805	36900
402	24878	36854
403	24946	36801
404	25012	36747
405	25076	36687
406	25148	36641
407	25222	36596
408	25299	36557
409	25368	36505
410	25441	36459
411	25518	36418
412	25579	36355
413	25640	36292
414	25705	36235
415	25767	36173
416	25835	36119
417	25901	36063
418	25965	36004
419	26035	35954
420	26100	35896
421	26169	35843
422	26234	35786
423	26301	35729
424	26363	35668
425	26424	35605
426	26489	35546
427	26553	35488
428	26611	35420
429	26677	35363
430	26738	35300
431	26798	35235
432	26862	35176
433	26924	35113
434	26983	35047
435	27041	34979
436	27101	34915
437	27160	34850
438	27221	34786
439	27282	34723
440	27339	34654
441	27396	34586
442	27453	34518
443	27511	34451
444	27567	34382
445	27624	34313
446	27687	34253
447	27747	34189
448	27808	34125
449	27863	34055
450	27921	33988
451	27977	33919
452	28036	33854
453	28094	33788
454	28155	33724
455	28213	33658
456	28274	33594
457	28331	33527
458	28389	33461
459	28448	33396
460	28508	33332
461	28567	33267
462	28626	33201
463	28688	33139
464	28745	33072
465	28804	33007
466	28862	32941
467	28922	32877
468	28979	32810
469	29041	32748
470	29118	32704
471	29180	32642
472	29239	32577
473	29300	32514
474	29358	32449
475	29419	32386
476	29477	32319
477	29539	32258
478	29597	32192
479	29655	32127
480	29715	32063
481	29773	31996
482	29829	31929
483	29891	31867
484	29953	31805
485	30010	31739
486	30068	31673
487	30128	31610
488	30187	31546
489	30248	31483
490	30307	31418
491	30367	31355
492	30428	31292
493	30487	31228
494	30545	31162
495	30604	31097
496	30663	31033
497	30726	30973
498	30788	30911
499	30863	30863
500	30929	30806
501	30994	30747
502	31062	30691
503	31120	30626
504	31180	30563
505	31245	30504
506	31308	30443
507	31376	30388
508	31442	30330
509	31500	30265
510	31559	30200
511	31619	30137
512	31680	30074
513	31746	30016
514	31808	29955
515	31871	29895
516	31935	29835
517	31995	29771
518	32054	29707
519	32115	29645
520	32177	29583
521	32239	29522
522	32300	29459
523	32359	29395
524	32417	29330
525	32475	29265
526	32534	29201
527	32596	29138
528	32656	29075
529	32717	29013
530	32778	28950
531	32840	28889
532	32900	28826
533	32957	28761
534	33019	28699
535	33083	28639
536	33144	28576
537	33204	28513
538	33263	28449
539	33323	28386
540	33385	28325
541	33447	28263
542	33507	28200
543	33564	28134
544	33623	28070
545	33684	28008
546	33744	27945
547	33800	27879
548	33855	27812
549	33914	27747
550	33973	27684
551	34034	27622
552	34098	27562
553	34161	27501
554	34223	27440
555	34286	27380
556	34348	27318
557	34408	27255
558	34466	27190
559	34524	27126
560	34583	27062
561	34643	27000
562	34705	26938
563	34766	26876
564	34825	26812
565	34886	26750
566	34947	26688
567	35007	26625
568	35067	26562
569	35130	26501
570	35190	26438
571	35252	26377
572	35314	26316
573	35372	26251
574	35430	26187
575	35488	26123
576	35550	26062
577	35612	26001
578	35671	25937
579	35731	25874
580	35790	25810
581	35853	25750
582	35912	25686
583	35970	25623
584	36030	25560
585	36093	25499
586	36149	25434
587	36209	25371
588	36267	25307
589	36324	25242
590	36383	25178
591	36442	25116
592	36498	25050
593	36566	24992
594	36626	24930
595	36704	24880
596	36766	24819
597	36824	24755
598	36887	24694
599	36949	24633
600	37012	24572
601	37078	24513
602	37144	24454
603	37206	24393
604	37266	24331
605	37326	24268
606	37416	24225
607	37521	24191
608	37581	24128
609	37639	24064
610	37696	24000
611	37753	23935
612	37812	23872
613	37876	23811
614	37942	23752
615	38006	23692
616	38072	23633
617	38132	23570
618	38198	23511
619	38261	23450
620	38321	23387
621	38376	23321
622	38435	23258
623	38492	23194
624	38551	23130
625	38611	23068
626	38670	23005
627	38729	22941
628	38791	22880
629	38852	22818
630	38915	22757
631	38975	22694
632	39035	22631
633	39093	22568
634	39151	22504
635	39207	22439
636	39270	22378
637	39329	22315
638	39389	22253
639	39449	22190
640	39506	22126
641	39563	22061
642	39619	21997
643	39679	21934
644	39736	21870
645	39792	21805
646	39851	21742
647	39909	21679
648	39967	21615
649	40024	21551
650	40084	21489
651	40142	21425
652	40201	21362
653	40261	21300
654	40316	21235
655	40378	21174
656	40439	21111
657	40496	21048
658	40557	20986
659	40618	20924
660	40677	20861
661	40739	20800
