iter	Logloss
0	0.6607604491
1	0.63646764
2	0.6137153699
3	0.5940183534
4	0.5765580496
5	0.5623254896
6	0.5497510094
7	0.5376522115
8	0.527532988
9	0.5175760946
10	0.510769099
11	0.5052849523
12	0.4994020415
13	0.4945865705
14	0.4904862104
15	0.4859407164
16	0.4826193166
17	0.4788692076
18	0.4758009003
19	0.4724364469
20	0.4691402391
21	0.4668365944
22	0.4646621854
23	0.4626345926
24	0.4608776921
25	0.4581841297
26	0.4560391731
27	0.4546433025
28	0.4523521449
29	0.4513387889
30	0.4503812591
31	0.4483462984
32	0.4472018294
33	0.4461196331
34	0.4451453784
35	0.443309481
36	0.4425507127
37	0.4416659543
38	0.4401060971
39	0.438099761
40	0.4372475667
41	0.4363320646
42	0.4355198472
43	0.4346824522
44	0.4337870145
45	0.433080969
46	0.4322643983
47	0.4317106832
48	0.4310276311
49	0.4304831506
50	0.4297460942
51	0.4291216883
52	0.4285057029
53	0.4278919429
54	0.4272437971
55	0.4262826557
56	0.4250070184
57	0.4243373646
58	0.423678193
59	0.422894171
60	0.4222502948
61	0.4216453278
62	0.4210509704
63	0.4205743438
64	0.4201870638
65	0.4196854298
66	0.4190167152
67	0.4186831807
68	0.4178819503
69	0.4173483859
70	0.4163745571
71	0.4156594556
72	0.4150698094
73	0.4144961127
74	0.4142175147
75	0.4137045263
76	0.4129747371
77	0.4125684415
78	0.4120947251
79	0.4117464936
80	0.411283852
81	0.4107111793
82	0.4103786481
83	0.4094715929
84	0.4091559588
85	0.4082492542
86	0.4079667014
87	0.4074582883
88	0.4069404616
89	0.4063804547
90	0.4059809707
91	0.4053280397
92	0.404902511
93	0.4044900834
94	0.4040456615
95	0.4037415452
96	0.4029886205
97	0.402631482
98	0.4016949896
99	0.401186707
100	0.4004214379
101	0.4001302763
102	0.399886114
103	0.3994659048
104	0.3990969139
105	0.3986136823
106	0.3983182546
107	0.397853306
108	0.3975245275
109	0.3967196405
110	0.3963411331
111	0.3957786637
112	0.3951001919
113	0.3948752822
114	0.3945376144
115	0.3939253459
116	0.3935489831
117	0.3931745339
118	0.3928012653
119	0.3922788622
120	0.3922677189
121	0.3918145276
122	0.3914093054
123	0.3906694552
124	0.3902368551
125	0.3898048378
126	0.3894228769
127	0.3888476183
128	0.3883971354
129	0.3877063671
130	0.3873294842
131	0.3869807692
132	0.3864657733
133	0.3857155319
134	0.3851371828
135	0.3847797608
136	0.3842847364
137	0.3838253755
138	0.3831823741
139	0.3826527187
140	0.3820961276
141	0.3816628784
142	0.381255944
143	0.3808929539
144	0.3804677843
145	0.379797525
146	0.3794542624
147	0.378888606
148	0.3785390022
149	0.3781464937
150	0.3774573813
151	0.3768261019
152	0.3764880692
153	0.3760785671
154	0.3757996761
155	0.3753690124
156	0.3750519962
157	0.374486725
158	0.3740165822
159	0.3733765201
160	0.3725938219
161	0.3720170651
162	0.3714639419
163	0.3710018121
164	0.3706773123
165	0.3703446051
166	0.3700769778
167	0.3694491543
168	0.3691132253
169	0.3683314344
170	0.368073298
171	0.3678035647
172	0.3674835928
173	0.3671158221
174	0.3668287935
175	0.3661810636
176	0.3659341001
177	0.365385314
178	0.3650877866
179	0.364510636
180	0.3641160618
181	0.3639309072
182	0.3635034669
183	0.3628472905
184	0.3625086899
185	0.3621556342
186	0.3618878443
187	0.3614487085
188	0.3608891968
189	0.3604972916
190	0.3599636625
191	0.3595947251
192	0.359106927
193	0.3588278076
194	0.3585277284
195	0.3582172353
196	0.3576908108
197	0.3572612473
198	0.3567140604
199	0.3562900309
200	0.3561126331
201	0.3556110831
202	0.3551099243
203	0.3547950936
204	0.3545183189
205	0.3540150044
206	0.3536036924
207	0.3529145164
208	0.3526923547
209	0.3522197251
210	0.3518325019
211	0.3513393791
212	0.350650881
213	0.35031594
214	0.3499476531
215	0.3494639128
216	0.3489529302
217	0.3485750038
218	0.348169562
219	0.3478523834
220	0.3473994499
221	0.3470865241
222	0.3467675044
223	0.3464453592
224	0.3460463072
225	0.3456318449
226	0.3452934399
227	0.3448755165
228	0.3445960331
229	0.3444684006
230	0.3440933977
231	0.3436652558
232	0.3432894617
233	0.3427235466
234	0.3421612572
235	0.34196525
236	0.3415269392
237	0.3412131637
238	0.3408288756
239	0.3405501447
240	0.3399573938
241	0.3396530965
242	0.3393642614
243	0.3389243656
244	0.3385159461
245	0.3382201913
246	0.3378220183
247	0.3373344952
248	0.3368708071
249	0.3364820283
250	0.3361293589
251	0.3357314524
252	0.3353631238
253	0.3348423054
254	0.3346478707
255	0.3341991613
256	0.3337489095
257	0.3335084821
258	0.3332835003
259	0.3329213427
260	0.3327177406
261	0.332422756
262	0.3321286019
263	0.3317644634
264	0.3313846991
265	0.3310493677
266	0.3307197191
267	0.3302610376
268	0.3299987756
269	0.3297015111
270	0.3292670591
271	0.3291225255
272	0.3287713514
273	0.3283600314
274	0.3279420002
275	0.3275723935
276	0.3270614538
277	0.3267581367
278	0.326440922
279	0.3260070546
280	0.3253845434
281	0.3250153128
282	0.3247015585
283	0.32425804
284	0.3240341902
285	0.3237000155
286	0.3233538002
287	0.3231603721
288	0.3226804326
289	0.3224099314
290	0.3220569988
291	0.3216966706
292	0.321066163
293	0.3206168506
294	0.3202441335
295	0.3197302287
296	0.3193281388
297	0.3189472093
298	0.3186623237
299	0.3183023671
300	0.3179567457
301	0.3174540348
302	0.3173156075
303	0.3170077916
304	0.3167009579
305	0.3164143461
306	0.3160000133
307	0.3154515013
308	0.3151098416
309	0.3148391899
310	0.314526918
311	0.3142704666
312	0.3136997028
313	0.3133549766
314	0.3129852625
315	0.3127337359
316	0.3124555881
317	0.3121281054
318	0.3119050652
319	0.3116008626
320	0.3113860275
321	0.311107721
322	0.3106524125
323	0.3103361802
324	0.3099324588
325	0.3095326354
326	0.3092367086
327	0.3087808435
328	0.3084621546
329	0.30823544
330	0.3079851245
331	0.3077920905
332	0.3073786692
333	0.3069770671
334	0.3066756722
335	0.3064950454
336	0.3062768072
337	0.3060263661
338	0.3056055319
339	0.3052209943
340	0.3047473916
341	0.3043043179
342	0.3040855403
343	0.303746892
344	0.3035057553
345	0.3033010001
346	0.3028633249
347	0.3025895256
348	0.3022760659
349	0.3019926483
350	0.3017715397
351	0.3012782621
352	0.3010481267
353	0.3007534701
354	0.3005863854
355	0.3003265267
356	0.3000987472
357	0.2997224318
358	0.299276371
359	0.2989157169
360	0.2983782639
361	0.2980067335
362	0.2976421767
363	0.2972290949
364	0.2970008201
365	0.2966531789
366	0.2964147102
367	0.2961868071
368	0.2959248023
369	0.2956832388
370	0.2953681125
371	0.294922646
372	0.2947140152
373	0.2945402263
374	0.2942066051
375	0.2938086647
376	0.2936362493
377	0.2931746475
378	0.2930100621
379	0.2926324374
380	0.2923154812
381	0.2920026333
382	0.29179326
383	0.2915047953
384	0.2911282341
385	0.2907902832
386	0.290524774
387	0.2902957021
388	0.290036642
389	0.28991447
390	0.2895344522
391	0.2893787155
392	0.2891241222
393	0.2888332941
394	0.288509917
395	0.2882516282
396	0.2880960107
397	0.2876950692
398	0.2874602133
399	0.2872293275
400	0.2869186836
401	0.2867014185
402	0.2865330693
403	0.2861934907
404	0.2858348427
405	0.2855987705
406	0.2852101554
407	0.284988389
